id,seminal_id,survey_id,timestamp,research_area,research_area_details,interests,years_since_phd,num_pubs,topic,comment
153,282.0,283.0,27/09/2016 09:05:37,Sociology,,"gender, citizenship, migration",14,26-50,migration studies,
154,284.0,,27/09/2016 09:07:32,Other,Planetary sciences,"Space, planets, stars, isotopes, carbon",33,More than 100,Planetary sciences,
155,285.0,,27/09/2016 10:06:14,"Architecture, Built Environment and Planning",,"Participation, Design engement, Social Sciences in architecture",o,Less than 5,architecture ,
156,286.0,287.0,27/09/2016 12:55:31,Computer Science and Informatics,,"Machine Learning, Cloud Computing, Deep Learning, Data mining",0,Less than 5,Deep Learning,
157,288.0,289.0,27/09/2016 13:28:36,Computer Science and Informatics,,"data analysis, visualisation",0,Less than 5,visualisation,
158,290.0,291.0,27/09/2016 15:18:55,Other,Artificial Intelligence,"Natural Language Processing,Machine Learning,Robotics",1,26-50,"Natural Language Understanding, Spoken Language Understanding","The area I worked on, that is Spoken Language Understanding for Robotic Systems, is not covered by an appropriate survey, so had to put the one that was closer to that area."
159,292.0,,27/09/2016 17:27:07,Sociology,,"personal relationships, sexuality, intimacy, gender, families",12,26-50,intimacy,The questions on seminal review paper is not how sociology research works - it is more aimed at STEM subjects.
160,293.0,294.0,27/09/2016 22:12:52,"Electrical and Electronic Engineering, Metallurgy and Materials",,"Residual stress, composites",0.1,Less than 5,Residual stress,
161,295.0,296.0,27/09/2016 22:15:31,Business and Management Studies,,Business Ethics,0,Less than 5,Teaching and research in business ethics,
162,297.0,298.0,28/09/2016 09:50:43,Other,"Planetology, Geology","Mars, Geomorphology, Climate",2,5-15,Planetology,
163,299.0,300.0,28/09/2016 13:54:35,Other,Educational technology,"MOOC, mobile learning, informal learning, ",0,26-50,MOOC,
164,301.0,302.0,28/09/2016 19:00:49,Social Work and Social Policy,,"young people, criminology, social policy, youth unemployment, youth criminalisation",Five,26-50,"Education, Criminology",
165,303.0,304.0,28/09/2016 21:41:48,Physics,,"Semiconductors, image sensors, radiation damage effects",15,51-100,Solid state image sensors,
166,305.0,306.0,29/09/2016 16:51:15,Biological Sciences,,"neurodegeneration, Alzheimer's disease, vasomotion",0,5-15,fluid movement in the brain,
167,307.0,308.0,29/09/2016 16:53:36,"Electrical and Electronic Engineering, Metallurgy and Materials",,"Creep, TEM, HRTEM, steels, nickel-based superalloys, ",0,Less than 5,Experimental mechanistic studies of high-temperature materials behaviour,Very interesting survey. Glad I was still able to partake in it. Best of luck!
168,309.0,310.0,10/08/2016 14:38:46,Computer Science and Informatics,,"Machine Learning, Artificial Intelligence, Robotics, Transfer Learning",0,Less than 5,Deep Learning,
169,311.0,312.0,10/08/2016 15:28:30,Mathematical Sciences,,"Graph Theory, Combinatorics, Machine Learning",2,5-15,Extremal Graph Theory,
170,313.0,,06/09/2016 14:42:00,Computer Science and Informatics,,"Distributed Systems, Storage Systems",0,Less than 5,Distributed Filesystems,
