,id,title,type,abstract,source,year,authors,keywords,link,month,day,revision,pages,volume,issue,websites,publisher,city,edition,institution,series,chapter,editors,file_attached,reader_count,reader_count_by_academic_status,reader_count_by_subdiscipline,reader_count_by_country,group_count,arxiv,doi,isbn,issn,pii,pmid,pui,scopus,sgr
14,467dd9dd-f278-3df0-b28a-0262388336e4,Crustal melting and the flow of mountains,journal,"As the continental crust thickens during mountain building, it can become hot enough to start melting, leading to a profound reduction in its strength. Melt-weakened crust can flow outward or upward in response to the pressure gradients associated with mountain building, and may be transported hundreds of kilometres laterally as mid-crustal channels. In the Himalayan–Tibetan system, melting began about 30 million years ago, and widespread granite intrusion began at 20–23 Ma. Geophysical data indicate that melt is present beneath the Tibetan plateau today, and deeply eroded mountain belts preserve evidence for melt-enhanced ductile flow in the past. Flow of partially molten crust may limit the thickness and elevation of mountain belts and has influenced the deep structure of continents.",Elements,2011.0,"Jamieson, Rebecca A.; Unsworth, Martyn J.; Harris, Nigel B W; Rosenberg, Claudio L.; Schulmann, Karel","['Channel flow', 'Crustal melting', 'Ductile flow', 'Melt-weakening', 'Mountain belts']",http://www.mendeley.com/research/crustal-melting-flow-mountains,8.0,,,253-260,7,4,,,,,,,,,False,85,"{'Lecturer': 2, 'Student  > Ph. D. Student': 30, 'Professor > Associate Professor': 3, 'Student  > Master': 10, 'Student  > Bachelor': 5, 'Student  > Doctoral Student': 3, 'Lecturer > Senior Lecturer': 1, 'Other': 2, 'Professor': 6, 'Researcher': 19, 'Student  > Postgraduate': 4}","{'Earth and Planetary Sciences': {'Earth and Planetary Sciences': 84}, 'Environmental Science': {'Environmental Science': 1}}","{'Australia': 1, 'China': 1, 'Japan': 1, 'United States': 1, 'Argentina': 1, 'United Kingdom': 2, 'Canada': 1}",,,10.2113/gselements.7.4.253,1811-5209\n1811-5217,18115209,,,362502816,2-s2.0-80052469522,80052469522
15,e9c3c897-49dd-313a-a378-375e41cf03aa,"Entrepreneurship: Productive, unproductive, and destructive",journal,"The basic hypothesis is that, while the total supply of entrepreneurs varies among societies, the productive contribution of the society's entrepreneurial activities varies much more because of their allocation between productive activities such as innovation and largely unproductive activities such as rent seeking or organized crime. This allocation is heavily influenced by the relative payoffs society offers to such activities. This implies that policy can influence the allocation of entrepreneurship more effectively than it can influence its supply. Historical evidence from ancient Rome, early China, and the Middle Ages and Renaissance in Europe is used to investigate the hypotheses.",Journal of Business Venturing,1996.0,"Baumol, William J.",,http://www.mendeley.com/research/entrepreneurship-productive-unproductive-destructive,1.0,,,3-22,11,1,,,,,,,,,False,893,"{'Student  > Bachelor': 54, 'Researcher': 84, 'Other': 19, 'Student  > Ph. D. Student': 290, 'Professor > Associate Professor': 66, 'Librarian': 1, 'Lecturer': 33, 'Student  > Master': 167, 'Unspecified': 2, 'Student  > Doctoral Student': 92, 'Lecturer > Senior Lecturer': 17, 'Professor': 28, 'Student  > Postgraduate': 39}","{'Materials Science': {'Materials Science': 1}, 'Arts and Humanities': {'Arts and Humanities': 10}, 'Neuroscience': {'Neuroscience': 1}, 'Earth and Planetary Sciences': {'Earth and Planetary Sciences': 1}, 'Chemistry': {'Chemistry': 1}, 'Sports and Recreations': {'Sports and Recreations': 2}, 'Business, Management and Accounting': {'Business, Management and Accounting': 438}, 'Physics and Astronomy': {'Physics and Astronomy': 2}, 'Engineering': {'Engineering': 14}, 'Design': {'Design': 3}, 'Energy': {'Energy': 1}, 'Philosophy': {'Philosophy': 4}, 'Immunology and Microbiology': {'Immunology and Microbiology': 1}, 'Agricultural and Biological Sciences': {'Agricultural and Biological Sciences': 13}, 'Unspecified': {'Unspecified': 2}, 'Chemical Engineering': {'Chemical Engineering': 1}, 'Mathematics': {'Mathematics': 2}, 'Medicine and Dentistry': {'Medicine and Dentistry': 6}, 'Decision Sciences': {'Decision Sciences': 1}, 'Computer Science': {'Computer Science': 13}, 'Psychology': {'Psychology': 11}, 'Social Sciences': {'Social Sciences': 140}, 'Economics, Econometrics and Finance': {'Economics, Econometrics and Finance': 212}, 'Environmental Science': {'Environmental Science': 12}}","{'Spain': 7, 'Portugal': 2, 'Italy': 2, 'Poland': 4, 'Malaysia': 3, 'Russia': 2, 'Netherlands': 8, 'Colombia': 2, 'France': 1, 'Bolivia': 1, 'Chile': 1, 'Canada': 2, 'India': 2, 'Australia': 3, 'Finland': 3, 'Switzerland': 5, 'Korea (South)': 1, 'Turkey': 1, 'Brazil': 7, 'United Kingdom': 16, 'Austria': 1, 'Germany': 5, 'Iran': 3, 'South Africa': 5, 'Japan': 1, 'United States': 20, 'Sri Lanka': 1, 'Denmark': 4, 'Mexico': 2, 'Burundi': 1, 'Sweden': 2}",,,10.1016/0883-9026(94)00014-X,00223808,08839026,,9103252727,126159511,2-s2.0-0029684672,0029684672
16,d48f4c1e-4320-3540-9148-1819401e07bf,"Researching small firms and entrepreneurship: Past, present and future",journal,"This paper seeks to stimulate debate on the agendas, methodologies and methods used in  the field of small business and entrepreneurship. The paper raises questions regarding the  research agendas pursued and provides some pointers for the direction of future research.  Integral to this is the argument that there is a need to reflect on the condition of small-  business research and to raise the quality of research by employing robust research methods.  This may involve questioning the role of small firms and entrepreneurship in society  rather than merely advocating them and the policy measures taken when supporting  and/or developing the small business sector. The dominance of specific viewpoints, the  methodologies used in small business studies, and the consequences of these in relation to  the development of a coherent scientific field of small business studies are also discussed.  Examples of research activity are discussed to illustrate these themes. Overall, the paper  argues that entrepreneurship and small business is a lucrative area for research. However, if  the field of inquiry is to flourish, it needs to be approached from a more critical perspective,  instead of merely accepting normative, or even strongly ideologically driven, standpoints now  dominant in so many studies. This has implications for research agendas, methodologies and  ultimately research methods training.",International Journal of Management Reviews,2009.0,"Blackburn, Robert; Kovalainen, Anne",,http://www.mendeley.com/research/researching-small-firms-entrepreneurship-past-present-future,6.0,,,127-148,11,2,,Blackwell Publishing Ltd,,,,,,,False,161,"{'Student  > Bachelor': 2, 'Researcher': 11, 'Other': 4, 'Student  > Ph. D. Student': 66, 'Professor > Associate Professor': 10, 'Librarian': 3, 'Lecturer': 9, 'Student  > Master': 19, 'Student  > Doctoral Student': 24, 'Lecturer > Senior Lecturer': 4, 'Professor': 6, 'Student  > Postgraduate': 3}","{'Social Sciences': {'Social Sciences': 18}, 'Arts and Humanities': {'Arts and Humanities': 1}, 'Economics, Econometrics and Finance': {'Economics, Econometrics and Finance': 17}, 'Agricultural and Biological Sciences': {'Agricultural and Biological Sciences': 2}, 'Engineering': {'Engineering': 2}, 'Business, Management and Accounting': {'Business, Management and Accounting': 115}, 'Design': {'Design': 1}, 'Energy': {'Energy': 1}, 'Computer Science': {'Computer Science': 1}, 'Psychology': {'Psychology': 1}, 'Sports and Recreations': {'Sports and Recreations': 2}}","{'Mexico': 1, 'United States': 1, 'Sweden': 1, 'Taiwan': 1, 'United Kingdom': 9, 'Germany': 1, 'Poland': 1, 'France': 2, 'Iran': 1, 'Finland': 1, 'Colombia': 1, 'Denmark': 1, 'Brazil': 2, 'Ireland': 1, 'Netherlands': 1, 'Korea (South)': 1}",,,10.1111/j.1468-2370.2008.00254.x,14608545\r14682370,14608545,,,354556461,2-s2.0-65449171925,65449171925
17,d190f72e-3f06-3511-ada3-e01000800a86,The presence of malfolded proteins in the endoplasmic reticulum signals the induction of glucose-regulated proteins,journal,"Two glucose-regulated proteins, GRP78 and GRP94, are major constituents of the endoplasmic reticulum (ER) of mammalian cells. These proteins are synthesized constitutively in detectable amounts under normal growth conditions; they can also be induced under a variety of conditions of stress including glucose starvation and treatment with drugs that inhibit cellular glycosylation, with calcium ionophores or with amino-acid analogues. Unlike the closely-related heat shock protein (HSP) family, the GRPs are not induced significantly by high temperature. Recently, GRP78 has been identified as the immunoglobulin heavy chain binding protein (BiP) (ref. 5 and Y.K. et al., in preparation) which binds transiently to a variety of nascent, wild-type secretory and transmembrane proteins and permanently to malfolded proteins that accumulate within the ER. We have tested the hypothesis that the presence of malfolded proteins may be the primary signal for induction of GRPs by expressing wild-type and mutant forms of influenza virus haemagglutinin (HA) in simian cells. Only malfolded HAs, whose transport from the ER is blocked, induced the synthesis of GRPs 78 and 94. Additional evidence is presented that malfolding per se, rather than abnormal glycosylation, is the proximal inducer of this family of stress proteins.",Nature,1988.0,"Kozutsumi, Yasunori; Segal, Mark; Normington, Karl; Gething, Mary-Jane; Sambrook, Joe",,http://www.mendeley.com/research/presence-malfolded-proteins-endoplasmic-reticulum-signals-induction-glucoseregulated-proteins,3.0,31.0,,462-464,332,6163,"['http://www.nature.com/doifinder/10.1038/332462a0', 'http://www.ncbi.nlm.nih.gov/pubmed/3352747']",Nature Publishing Group,,,,,,,False,124,"{'Student  > Bachelor': 19, 'Researcher': 15, 'Other': 2, 'Student  > Ph. D. Student': 47, 'Professor > Associate Professor': 10, 'Lecturer': 1, 'Student  > Master': 16, 'Unspecified': 1, 'Student  > Doctoral Student': 6, 'Lecturer > Senior Lecturer': 1, 'Professor': 3, 'Student  > Postgraduate': 3}","{'Unspecified': {'Unspecified': 1}, 'Medicine and Dentistry': {'Medicine and Dentistry': 11}, 'Agricultural and Biological Sciences': {'Agricultural and Biological Sciences': 90}, 'Biochemistry, Genetics and Molecular Biology': {'Biochemistry, Genetics and Molecular Biology': 7}, 'Physics and Astronomy': {'Physics and Astronomy': 1}, 'Immunology and Microbiology': {'Immunology and Microbiology': 2}, 'Engineering': {'Engineering': 1}, 'Pharmacology, Toxicology and Pharmaceutical Science': {'Pharmacology, Toxicology and Pharmaceutical Science': 1}, 'Neuroscience': {'Neuroscience': 4}, 'Chemistry': {'Chemistry': 5}, 'Sports and Recreations': {'Sports and Recreations': 1}}","{'Belgium': 1, 'United Kingdom': 5, 'Japan': 1, 'United States': 2}",,,10.1038/332462a0,0028-0836 (Print)\n0028-0836 (Linking),0028-0836,,3352747,218144445,2-s2.0-0023852783,0023852783
18,63d05ad7-dadc-3586-b733-0989735394ff,Intracellular Functions of N-Linked Glycans,journal,"N-linked oligosaccharides arise when blocks of 14 sugars are added cotranslationally to newly synthesized polypeptides in the endoplasmic reticulum (ER). These glycans are then subjected to extensive modification as the glycoproteins mature and move through the ER via the Golgi complex to their final destinations inside and outside the cell. In the ER and in the early secretory pathway, where the repertoire of oligosaccharide structures is still rather small, the glycans play a pivotal role in protein folding, oligomerization, quality control, sorting, and transport. They are used as universal “tags” that allow specific lectins and modifying enzymes to establish order among the diversity of maturing glycoproteins. In the Golgi complex, the glycans acquire more complex structures and a new set of functions. The division of synthesis and processing between the ER and the Golgi complex represents an evolutionary adaptation that allows efficient exploitation of the potential of oligosaccharides.",Science,2001.0,"Helenius, A.; Aebi, M.",,http://www.mendeley.com/research/intracellular-functions-nlinked-glycans-3,,,,2364-2369,291,5512,,,,,,,,,False,419,"{'Lecturer': 5, 'Student  > Ph. D. Student': 141, 'Professor > Associate Professor': 19, 'Student  > Master': 51, 'Student  > Bachelor': 43, 'Student  > Doctoral Student': 21, 'Other': 11, 'Professor': 21, 'Researcher': 93, 'Student  > Postgraduate': 14}","{'Immunology and Microbiology': {'Immunology and Microbiology': 6}, 'Agricultural and Biological Sciences': {'Agricultural and Biological Sciences': 264}, 'Biochemistry, Genetics and Molecular Biology': {'Biochemistry, Genetics and Molecular Biology': 34}, 'Medicine and Dentistry': {'Medicine and Dentistry': 18}, 'Pharmacology, Toxicology and Pharmaceutical Science': {'Pharmacology, Toxicology and Pharmaceutical Science': 1}, 'Neuroscience': {'Neuroscience': 3}, 'Earth and Planetary Sciences': {'Earth and Planetary Sciences': 2}, 'Chemistry': {'Chemistry': 71}, 'Business, Management and Accounting': {'Business, Management and Accounting': 1}, 'Psychology': {'Psychology': 2}, 'Physics and Astronomy': {'Physics and Astronomy': 3}, 'Engineering': {'Engineering': 12}, 'Design': {'Design': 1}, 'Computer Science': {'Computer Science': 1}}","{'Belgium': 1, 'Philippines': 1, 'United States': 14, 'Czech Republic': 1, 'Portugal': 1, 'Italy': 2, 'Brazil': 3, 'China': 3, 'Argentina': 2, 'France': 2, 'Netherlands': 4, 'Chile': 3, 'Canada': 3, 'Switzerland': 3, 'South Africa': 2, 'United Kingdom': 1, 'Germany': 5, 'South Korea': 1, 'Japan': 1, 'Spain': 1, 'Denmark': 1, 'Sweden': 2}",,,10.1126/science.291.5512.2364,0036-8075 (Print)\r0036-8075 (Linking),00368075,,11269317,32231791,2-s2.0-0035937505,0035937505
19,3e7c2876-3119-35a7-b916-f277fed983bc,A novel electrostatic probe method for ion flux measurements,journal,"A novel electrostatic probe method is described in which the ion flux is determined from the discharging of an RF-biased capacitance in series with the probe. By using a large-area planar probe, with a guard ring and located in or on other surfaces, edge effects and perturbations to the plasma volume can be kept small. The ion flux to the probe can be determined even when its surface is coated with insulating material from the plasma itself. Results are reported for ion fluxes in RF-excited plasmas in Ar and in CF4 in a RIE reactor. In Ar, ion fluxes to the earthed surfaces increase with pressure and power over the ranges 50 - 200 mTorr and 30 - 200 W. In CF4, over the same ranges the ion fluxes to the surfaces decrease with increasing pressure.",Plasma Sources Sci. Technol.,1996.0,"Braithwaite, N St J; Booth, J P; Cunge, G",,http://www.mendeley.com/research/novel-electrostatic-probe-method-ion-flux-measurements,,,,677-684,5,,,,,,,,,,False,44,"{'Student  > Ph. D. Student': 21, 'Professor > Associate Professor': 3, 'Other': 2, 'Student  > Bachelor': 2, 'Student  > Doctoral Student': 1, 'Student  > Master': 1, 'Professor': 2, 'Researcher': 11, 'Student  > Postgraduate': 1}","{'Engineering': {'Engineering': 11}, 'Materials Science': {'Materials Science': 2}, 'Physics and Astronomy': {'Physics and Astronomy': 29}, 'Chemistry': {'Chemistry': 2}}","{'Belgium': 2, 'Russia': 1, 'China': 1, 'Germany': 1, 'United States': 1, 'Netherlands': 1, 'Italy': 1, 'United Kingdom': 3}",,,10.1088/0963-0252/5/4/009,,0963-0252,,,126609799,2-s2.0-0030282058,0030282058
20,8d77be5e-550d-3ef3-a0da-00ae9bcebe25,A Review of Hydrophilic Silicon Wafer Bonding,journal,"Hydrophilically activated direct wafer bonding is a technique for gluelessly attaching oxide-coated wafers together. This ability is a vital step in the construction of many microelectronic and microelectromechanical (MEMS) devices. In particular this technique is widely used in the production of 3d interconnected devices due to the lack of interlayer. This review covers the key papers relating to the theory, techniques and quantification of hydrophilically activated silicon wafer bonding. This begins with a review of the history and development of the art. Bond strength characterization is then reviewed followed first by models of physical deformation and then by plasma and radical activation techniques. In the interests of clarity and succinctness this review is not an attempt to exhaustively catalog all direct bonding wafer literature. Excluded are hydrophobic and UHV bonding, and the many papers applying bonding techniques to differing combinations of wafer ma-terials. This paper concludes with a summery of the state of the art of direct wafer bonding and a summation of the current wafer-bonding model derived from the papers reviewed.",ECS Journal of Solid State Science and Technology,2014.0,"Masteika, V; Kowal, J; St Braithwaite, N J; Rogers, T",,http://www.mendeley.com/research/review-hydrophilic-silicon-wafer-bonding,,,,42-54,3,4,,,,,,,,,False,34,"{'Student  > Ph. D. Student': 15, 'Student  > Master': 4, 'Student  > Bachelor': 3, 'Student  > Doctoral Student': 4, 'Other': 1, 'Professor': 1, 'Researcher': 6}","{'Materials Science': {'Materials Science': 4}, 'Agricultural and Biological Sciences': {'Agricultural and Biological Sciences': 1}, 'Biochemistry, Genetics and Molecular Biology': {'Biochemistry, Genetics and Molecular Biology': 1}, 'Physics and Astronomy': {'Physics and Astronomy': 6}, 'Engineering': {'Engineering': 14}, 'Chemistry': {'Chemistry': 7}, 'Chemical Engineering': {'Chemical Engineering': 1}}","{'Denmark': 1, 'Russia': 1, 'United Kingdom': 1, 'Japan': 1}",,,10.1149/2.007403jss,,2162-8769,,,,,
21,9ddb8eb5-12e1-39c6-bae0-5d1cadd41c3d,Simple permutations and pattern restricted permutations,journal,"A simple permutation is one that does not map any non-trivial interval onto an interval. It is shown that, if the number of simple permutations in a pattern restricted class of permutations is finite, the class has an algebraic generating function and is defined by a finite set of restrictions. Some partial results on classes with an infinite number of simple permutations are given. Examples of results obtainable by the same techniques are given; in particular it is shown that every pattern restricted class properly contained in the 132-avoiding permutations has a rational generating function. ?? 2005 Elsevier B.V. All rights reserved.",Discrete Mathematics,2005.0,"Albert, M. H.; Atkinson, M. D.","['Enumeration', 'Pattern-restricted', 'Permutation']",http://www.mendeley.com/research/simple-permutations-pattern-restricted-permutations,9.0,6.0,,1-15,300,1-3,,,,,,,,,False,15,"{'Lecturer': 1, 'Student  > Master': 1, 'Student  > Ph. D. Student': 8, 'Professor': 1, 'Student  > Doctoral Student': 1, 'Professor > Associate Professor': 3}","{'Medicine and Dentistry': {'Medicine and Dentistry': 1}, 'Computer Science': {'Computer Science': 6}, 'Mathematics': {'Mathematics': 7}, 'Social Sciences': {'Social Sciences': 1}}","{'China': 1, 'India': 1}",,,10.1016/j.disc.2005.06.016,,0012365X,S0012365X05003377,,41360112,2-s2.0-25444441476,25444441476
22,5e204991-f61a-34e0-a99d-43ffc4e96182,Moore graphs and beyond : A survey of the degree / diameter problem,journal,"The degree/diameter problem is to determine the largest graphs or digraphs of given maximum degree and given diameter. General upper bounds - called Moore bounds - for the order of such graphs and digraphs are attainable only for certain special graphs and digraphs. Finding better (tighter) upper bounds for the maxi- mum possible number of vertices, given the other two parameters, and thus attack- ing the degree/diameter problem `from above', remains a largely unexplored area. Constructions producing large graphs and digraphs of given degree and diameter represent a way of attacking the degree/diameter problem `from below'. This sur- vey aims to give an overview of the current state-of-the-art of the degree/diameter problem. We focus mainly on the above two streams of research. However, we could not resist mentioning also results on various related problems. These include considering Moore-like bounds for special types of graphs and digraphs, such as vertex-transitive, Cayley, planar, bipartite, and many others, on the one hand, and related properties such as connectivity, regularity, and surface embeddability, on the other hand.",SciencesNew York,2005.0,"Miller, Mirka; Sir, Jozef",,http://www.mendeley.com/research/moore-graphs-beyond-survey-degree-diameter-problem,,,,,20,2,['http://www.combinatorics.org/Surveys/ds14.pdf'],,,,,,,,False,15,"{'Student  > Ph. D. Student': 6, 'Professor > Associate Professor': 2, 'Student  > Master': 2, 'Student  > Bachelor': 3, 'Other': 1, 'Researcher': 1}","{'Engineering': {'Engineering': 2}, 'Computer Science': {'Computer Science': 8}, 'Mathematics': {'Mathematics': 5}}","{'Iran': 1, 'Philippines': 1, 'Canada': 2, 'Taiwan': 1}",,,,,,,,,,
23,fb629e3c-28bd-3d4e-9c0f-fc33c192519c,Dominance and Diversity in Land Plant Communities: Numerical relations of species express the importance of competition in community function and evolution.,journal,"Most plant communities consist of several or many species which compete for light, water, and nutrients. Species in a given community may be ranked by their relative success in competition; productivity seems to be the best measure of their success or importance in the community. Curves of decreasing productivity connect the few most important species (the dominants) with a larger number of species of intermediate importance (whose number primarily determines the community's diversity or richness in species) and a smaller number of rare species. These curves are of varied forms and are believed to express different patterns of competition and niche differentiation in communities. It is probably true of plants, as of animals, that no two species in a stable community occupy the same niche. Evolution of niche differentiation makes possible the occurrence together of many plant species which are partial, rather than direct, competitors. Species tend to evolve also toward habitat differentiation, toward scattering of their centers of maximum population density in relation to environmental gradients, so that few species are competing with one another in their population centers. Evolution of both niche and habitat differentiation permits many species to exist together in communities as partial competitors, with distributions broadly and continuously overlapping, forming the landscape's many intergrading communities.","Science (New York, N.Y.)",1965.0,"Whittaker, R H",,http://www.mendeley.com/research/dominance-diversity-land-plant-communities-numerical-relations-species-express-importance-competitio,1.0,15.0,,250-60,147,3655,['http://www.ncbi.nlm.nih.gov/pubmed/17788203'],American Association for the Advancement of Science,,,,,,,False,116,"{'Student  > Ph. D. Student': 31, 'Professor > Associate Professor': 7, 'Student  > Master': 17, 'Student  > Bachelor': 5, 'Student  > Doctoral Student': 6, 'Other': 3, 'Professor': 5, 'Researcher': 33, 'Student  > Postgraduate': 8, 'Librarian': 1}","{'Medicine and Dentistry': {'Medicine and Dentistry': 1}, 'Agricultural and Biological Sciences': {'Agricultural and Biological Sciences': 67}, 'Biochemistry, Genetics and Molecular Biology': {'Biochemistry, Genetics and Molecular Biology': 1}, 'Physics and Astronomy': {'Physics and Astronomy': 1}, 'Mathematics': {'Mathematics': 1}, 'Engineering': {'Engineering': 1}, 'Arts and Humanities': {'Arts and Humanities': 1}, 'Computer Science': {'Computer Science': 1}, 'Earth and Planetary Sciences': {'Earth and Planetary Sciences': 10}, 'Environmental Science': {'Environmental Science': 31}, 'Social Sciences': {'Social Sciences': 1}}","{'South Africa': 1, 'United Kingdom': 1, 'Spain': 1, 'Italy': 1, 'France': 2, 'Russia': 1, 'China': 2, 'Germany': 2, 'Finland': 1, 'United States': 8, 'Brazil': 7, 'Mexico': 1, 'Canada': 2, 'India': 1}",,,10.1126/science.147.3655.250,0036-8075 (Print)\r0036-8075 (Linking),0036-8075,,17788203,,,
